line = five3onelxjninenine45, First digit = five, Last digit = 3, f = 5, l = 3
line = foureight5nine2, First digit = four, Last digit = eight, f = 4, l = 8
line = 1kjb98, First digit = 1, Last digit = 9, f = 1, l = 9
line = ninetwo2eighttwo, First digit = nine, Last digit = two, f = 9, l = 2
line = hpcnone5cjvtpqxhbh596, First digit = one, Last digit = one, f = 1, l = 1
line = 3gbtdlblgp, First digit = 3, Last digit = , f = 3, l = 0
line = 4ninemzqkldqrcnmcvjjxtzgbrp, First digit = 4, Last digit = nine, f = 4, l = 9
line = fivetwo6, First digit = five, Last digit = two, f = 5, l = 2
line = 4tlbxgnjgc522zlldmfbmh, First digit = 4, Last digit = 5, f = 4, l = 5
line = fkpsxsmchn3ninesevenseventfxxjdnqxtwo, First digit = 3, Last digit = 3, f = 3, l = 3
line = sevennine3sixsix, First digit = seven, Last digit = 3, f = 7, l = 3
line = 84s, First digit = 8, Last digit = 4, f = 8, l = 4
line = seven5seven6sixmdfrtwo, First digit = seven, Last digit = 5, f = 7, l = 5
line = one269, First digit = one, Last digit = 2, f = 1, l = 2
line = 493nine, First digit = 4, Last digit = 9, f = 4, l = 9
line = 29onecklhjcxvpbzfour3, First digit = 2, Last digit = 9, f = 2, l = 9
line = 35vksqxhbn, First digit = 3, Last digit = 5, f = 3, l = 5
line = , First digit = , Last digit = , f = 0, l = 0
Sum of all calibration values = 55286
